OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1564661,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 00:00:00+00,Restaurant,54,-78.78193974,35.75976658,M
1564662,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 00:00:00+00,Restaurant,55,-78.58054205,35.69110315,M
1564663,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 00:00:00+00,Restaurant,87,-78.68893912,35.78436913,M
1564664,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 00:00:00+00,Restaurant,89,-78.81676023,35.80454378,M
1564665,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 00:00:00+00,Food Stand,90,-78.57603863,35.86599856,M
1564666,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 00:00:00+00,Mobile Food Units,94,-78.32392727,35.83867806,M
1564667,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,95,-78.82726689,35.7464159,M
1564668,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 00:00:00+00,Restaurant,100,-78.84948074,35.66266499,M
1564669,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 00:00:00+00,Restaurant,104,-78.88929435,35.84836238,M
1564670,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,109,-78.82726689,35.7464159,M
1564671,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 00:00:00+00,Food Stand,116,-78.83931692,35.71149361,M
1564672,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 00:00:00+00,Restaurant,117,-78.70609774,35.86074545,M
1564673,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 00:00:00+00,Restaurant,120,-78.63994726,35.83691426,M
1564674,04092016771,Linus & Pepper's,126 S SALISBURY ST ,,RALEIGH,NC,27601,(919) 649-2154,2014/09/30 00:00:00+00,Restaurant,135,-78.64041384,35.77862242,M
1564675,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012/04/18 00:00:00+00,Restaurant,161,-78.71583123,35.87110639,M
1564676,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 00:00:00+00,Food Stand,172,-78.82197042,35.74562504,M
1564677,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 00:00:00+00,Restaurant,173,-78.64623771,35.72377782,M
1564678,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,184,-78.83920922,35.63987917,M
1564679,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 00:00:00+00,Restaurant,185,-78.64681795,35.78777191,M
1564680,04092018366,Flying Mayan #1,319 Fayetteville ST ,Suite 105,RALEIGH,NC,27601,(919) 615-1574,2020/05/14 00:00:00+00,Restaurant,191,-78.63879706,35.77609243,M
1564681,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 00:00:00+00,Restaurant,195,-78.62166097,35.89510574,M
1564682,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 00:00:00+00,Food Stand,222,-78.60165311,35.89132184,M
1564683,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 00:00:00+00,Restaurant,233,-78.83661982,35.66097455,M
1564684,04092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 00:00:00+00,Restaurant,235,-78.64011364,35.78945486,M
1564685,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 00:00:00+00,Food Stand,237,-78.63902655,35.752054,M
1564686,04092018655,Dairy Queen #11993,12271 Capital  BLVD ,,Wake Forest ,NC,27587,(919) 554-2564,2021/06/17 00:00:00+00,Restaurant,239,-78.53978632,35.98090041,M
1564687,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,Food Stand,241,-78.65023656,35.89889154,M
1564688,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 00:00:00+00,Meat Market,242,-78.83920922,35.63987917,M
1564689,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 00:00:00+00,Food Stand,247,-78.65568292,35.90277448,M
1564690,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 00:00:00+00,Restaurant,253,-78.53310077,35.94802112,M
1564691,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 00:00:00+00,Food Stand,254,-78.89712096,35.80863645,M
1564692,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 00:00:00+00,Meat Market,255,-78.74067496,35.76583498,M
1564693,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 00:00:00+00,Food Stand,261,-78.57603863,35.86599856,M
1564694,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 00:00:00+00,Food Stand,56,-78.63544584,35.77685868,M
1564695,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 00:00:00+00,Restaurant,271,-78.60826495,35.83722719,M
1564696,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM ROAD,,CARY,NC,27518,(919) 233-9483,2014/11/10 00:00:00+00,Restaurant,288,-78.78068706,35.73567462,M
1564697,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 00:00:00+00,Food Stand,292,-78.38037181,35.79568777,M
1564698,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 00:00:00+00,Restaurant,294,-78.66755526,35.73521897,M
1564699,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Restaurant,298,-78.82726689,35.7464159,M
1564700,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 00:00:00+00,Restaurant,299,-78.63957991,35.77810063,M
1564701,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 00:00:00+00,Restaurant,300,-78.55981965,35.9407555,M
1564702,04092015464,POLAR ICE HOUSE,1410 BUCK JONES RD ,,RALEIGH,NC,27606,(919) 460-2756,2009/09/11 00:00:00+00,Restaurant,307,-78.74547814,35.76540093,M
1564703,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021/05/13 00:00:00+00,Restaurant,314,-78.62263526,35.8662752,M
1564704,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 00:00:00+00,Restaurant,317,-78.84948074,35.66266499,M
1564705,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 00:00:00+00,Private School Lunchrooms,319,-78.67165429,35.70444604,M
1564706,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 00:00:00+00,Restaurant,326,-78.62038753,35.82333592,M
1564707,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013/08/14 00:00:00+00,Restaurant,343,-78.72593809,35.90878313,M
1564708,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 00:00:00+00,Restaurant,351,-78.63943083,35.78220511,M
1564709,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 00:00:00+00,Restaurant,353,-78.57953261,35.76724571,M
1564710,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 00:00:00+00,Restaurant,354,-78.77802091,35.78798563,M
1564711,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 00:00:00+00,Restaurant,355,-78.47356613,35.79722482,M
1564712,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021/03/24 00:00:00+00,Restaurant,366,-78.76795619,35.83059406,M
1564713,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 00:00:00+00,Restaurant,369,-78.54504471,35.96485726,M
1564714,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 00:00:00+00,Restaurant,373,-78.537511,35.87630713,M
1564715,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 00:00:00+00,Food Stand,374,-78.73871452,35.76064286,M
1564716,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,58,-78.63887103,35.83819686,M
1564717,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 00:00:00+00,Restaurant,92,-78.51125194,35.89400635,M
1564718,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021/03/25 00:00:00+00,Food Stand,376,-78.68184484,35.84183815,T
1564719,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 00:00:00+00,Restaurant,379,-78.76305622,35.79140272,M
1564720,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 00:00:00+00,Food Stand,383,-78.67526404,35.78962141,M
1564721,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 00:00:00+00,Restaurant,400,-78.68223183,35.90105252,M
1564722,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 00:00:00+00,Food Stand,406,-78.59988229,35.89223772,M
1564723,04092021891,FOOD LION #669 PRODUCE,405 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-4018,2015/10/14 00:00:00+00,Food Stand,411,-78.46472721,35.91731538,T
1564724,04092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,,CARY,NC,27518,(919) 852-5857,2017/08/25 00:00:00+00,Restaurant,414,-78.7615544,35.74559939,M
1564725,04092021899,FOOD LION #193 PRODUCE,5633 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 781-0597,2015/10/22 00:00:00+00,Food Stand,415,-78.68200551,35.85879117,M
1564726,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 00:00:00+00,Restaurant,432,-78.77756307,35.73853619,M
1564727,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 00:00:00+00,Restaurant,437,-78.5408878,35.94279833,M
1564728,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 00:00:00+00,Food Stand,454,-78.64059702,35.85499105,M
1564729,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 00:00:00+00,Food Stand,274,-78.54967347,35.79198567,M
1564730,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 00:00:00+00,Restaurant,293,-78.61376,35.75438832,M
1564731,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 00:00:00+00,Restaurant,311,-78.78606215,35.90557616,M
1564732,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,345,-78.63887103,35.83819686,M
1564733,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 00:00:00+00,Restaurant,367,-78.62699406,35.77656647,M
1564734,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,Restaurant,441,-78.54049905,35.87559319,M
1564735,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 00:00:00+00,Food Stand,457,-78.61339277,35.84095998,M
1564736,04092021426,Speedway #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 00:00:00+00,Food Stand,471,-78.52023463,35.67517694,M
1564737,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 00:00:00+00,Mobile Food Units,455,-78.64171063,35.75324624,M
1564738,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 00:00:00+00,Food Stand,484,-78.63206132,35.77487463,M
1564739,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 00:00:00+00,Restaurant,490,-78.62251606,35.86922851,M
1564740,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021/06/07 00:00:00+00,Restaurant,494,-78.68116797,35.89788799,M
1564741,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 00:00:00+00,Restaurant,458,-78.82917015,35.7478436,M
1564742,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 00:00:00+00,Restaurant,496,-78.62166097,35.89510574,M
1564743,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 00:00:00+00,Private School Lunchrooms,507,-78.62608851,35.88760817,M
1564744,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 00:00:00+00,Restaurant,508,-78.6456917,35.77945516,M
1564745,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 00:00:00+00,Restaurant,509,-78.58356211,35.69799194,M
1564746,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 00:00:00+00,Food Stand,519,-78.75810908,35.59678082,M
1564747,04092015913,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,,CARY,NC,27513,(919) 531-8651,2011/03/16 00:00:00+00,Restaurant,520,-78.75122071,35.81750425,M
1564748,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 00:00:00+00,Food Stand,532,-78.84865444,35.78921622,M
1564749,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 00:00:00+00,Restaurant,537,-78.64536523,35.80340045,M
1564750,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 00:00:00+00,Restaurant,556,-78.4899936,35.79638702,M
1564751,04092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 481-3811,2009/12/31 00:00:00+00,Restaurant,575,-78.7805746,35.804703,M
1564752,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021/06/22 00:00:00+00,Restaurant,596,-78.73871452,35.76064286,M
1564753,04092018656,Brookfields Indoor Golf & Lounge,1839 S Main ST ,,WAKE FOREST,NC,27587,(984) 235-1722,2021/06/17 00:00:00+00,Restaurant,601,-78.52626448,35.95102854,M
1564754,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,603,-78.83920922,35.63987917,M
1564755,04092040390,DeeVine Dogs (WCID #833),7106 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9265,(718) 581-7456,2021/06/01 00:00:00+00,Pushcarts,622,-78.49110797,35.79651289,M
1564756,04092015519,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,,CARY,NC,27513,(919) 380-7891,2009/11/24 00:00:00+00,Restaurant,624,-78.82085718,35.76363975,M
1564757,04092021962,PUBLIX #1520 PRODUCE,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,626,-78.79652253,35.70711378,M
1564758,04092021477,Lowes Foods #226 Deli,8440 louisburg rd,,RALEIGH,NC,27616,(919) 266-1031,2007/09/14 00:00:00+00,Food Stand,631,-78.50930992,35.89359383,M
1564759,04092021961,PUBLIX #1520 MEAT/SEAFOOD,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,636,-78.79652253,35.70711378,M
1564760,04092016595,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-9151,2014/01/03 00:00:00+00,Restaurant,637,-78.69699987,35.66636356,M
1564761,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015/10/21 00:00:00+00,Food Stand,642,-78.53977,35.87454018,M
1564762,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015/10/21 00:00:00+00,Food Stand,643,-78.55981965,35.9407555,M
1564763,04092021901,FOOD LION #723 PRODUCE,7053 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 00:00:00+00,Food Stand,644,-78.4900383,35.7998273,M
1564764,04092015891,AVIATOR SMOKEHOUSE,525 Broad  ST ,,FUQUAY VARINA ,NC,27526,(919) 567-2337,2011/02/18 00:00:00+00,Restaurant,629,-78.79375457,35.59301324,M
1564765,04092014738,Chick-fil-A #1963,8661 Six Forks RD ,,RALEIGH,NC,27615,(919) 848-6715,2006/12/05 00:00:00+00,Restaurant,658,-78.65140772,35.89807227,M
1564766,04092014946,Good Taste Chinese Restaurant,532 W Gannon AVE ,,ZEBULON,NC,27597,(919) 404-1218,2007/08/17 00:00:00+00,Restaurant,660,-78.32626437,35.8212487,M
1564767,04092018121,Chido Taco,2330 BALE ST,,RALEIGH,NC,27608,(919) 594-1930,2019/06/27 00:00:00+00,Restaurant,663,-78.62748278,35.81292611,M
1564768,04092017041,FIREHOUSE SUBS #1138,4111 ED DR ,,RALEIGH,NC,27612,(919) 783-7102,2015/09/22 00:00:00+00,Restaurant,676,-78.70458274,35.82558522,M
1564769,04092014769,Umstead Hotel & Spa Food Service,100 Woodland Pond ,,CARY,NC,27513,(919) 447-4000,2007/01/12 00:00:00+00,Restaurant,675,-78.76554053,35.82938634,M
1564770,04092018503,Pita Bowl,9101 LEESVILLE  RD ,STE 141,RALEIGH,NC,27613,(919) 848-1211,2020/12/15 00:00:00+00,Restaurant,680,-78.72548207,35.8967595,M
1564771,04092021475,Lowes Foods #226 Produce,8440 louisburg rd ,,RALEIGH,NC,27616,(919) 866-1031,2007/09/14 00:00:00+00,Food Stand,684,-78.50930992,35.89359383,M
1564772,04092022014,HARRIS TEETER #298 STARBUCKS,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2017/05/16 00:00:00+00,Food Stand,687,-78.90107787,35.82060358,M
1564773,04092025334,Mat-Jib,1961 HIGH HOUSE RD,,CARY,NC,27519,(919) 969-3614,2020/12/16 00:00:00+00,Food Stand,691,-78.84865444,35.78921622,M
1564774,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 00:00:00+00,Food Stand,700,-78.78267467,35.59365948,M
1564775,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006/01/10 00:00:00+00,Restaurant,708,-78.67644314,35.74808355,M
1564776,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019/12/03 00:00:00+00,Restaurant,709,-78.57923704,35.79885313,M
1564777,04092014675,Stromboli's ,3434 Edwards Mill  RD ,,RALEIGH,NC,27609,(919) 785-7075,2006/09/01 00:00:00+00,Restaurant,722,-78.70345096,35.82690996,M
1564778,04092014720,Chili's Grill and Bar #1183,6605 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 261-0167,2006/10/27 00:00:00+00,Restaurant,730,-78.50846405,35.79679257,M
1564779,04092021411,Costco Wholesale #645 Rotiserrie/Deli,2838 Wake Forest RD ,,RALEIGH,NC,27609,(919) 755-2816,2006/10/24 00:00:00+00,Food Stand,732,-78.62231539,35.81825512,M
1564780,04092014651,Inchin's Bamboo Garden,3532 Davis DR,,MORRISVILLE,NC,27560,(919) 457-6705,2006/07/19 00:00:00+00,Restaurant,737,-78.84576194,35.81812076,M
1564781,04092018401,Starbucks #55618,1268 W WILLIAMS ST,,APEX,NC,27502,(919) 545-4787,2020/07/09 00:00:00+00,Restaurant,747,-78.87327975,35.74703535,M
1564782,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 00:00:00+00,Restaurant,759,-78.55938498,35.79875761,M
1564783,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 00:00:00+00,Restaurant,760,-78.88824644,35.84415135,M
1564784,04092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,,HOLLY SPRING,NC,27540,(919) 567-0060,2009/09/02 00:00:00+00,Restaurant,772,-78.83457704,35.6392159,M
1564785,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 00:00:00+00,Food Stand,773,-78.58372976,35.83623733,M
1564786,04092017049,DON JULIO MEXICAN RESTAURANT,12516-104 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(984) 235-1537,2015/10/08 00:00:00+00,Restaurant,734,-78.53454582,35.98680854,M
1564787,04092014947,Hardee's #1207,5639 Hillsborough ST ,,RALEIGH,NC,27606,(919) 859-0607,2007/09/11 00:00:00+00,Restaurant,785,-78.72266449,35.785856,M
1564788,04092018120,Marco's Pizza #8486,7500 RAMBLE WAY,Suite 115,RALEIGH,NC,27616,(919) 825-1812,2019/06/26 00:00:00+00,Restaurant,808,-78.537511,35.87630713,M
1564789,04092030500,Krab Kingz (WCID #793),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(919) 658-8784,2020/10/26 00:00:00+00,Mobile Food Units,814,-78.7114342,35.63398295,M
